Model,Weight (pounds),Draw,GigabitEthernet Copper,GigabitEthernet SFP,GigabitEthernet Combo,TenGigabitEthernet Copper,TenGigabitEthernet SFP+,TenGigabitEthernet Combo,TwoGigabitEthernet,OOB,con0,con1,con2,psu0,Stacking
C1200-8T-D,1.19,7.09,8,0,0,0,0,0,0,,,,,dc-terminal,false
C1200-8T-E-2G,3.06,10.65,8,0,2,0,0,0,0,,rj-45,usb-c,,dc-terminal,false
C1200-8P-E-2G,3.37,84.86,8,0,2,0,0,0,0,,rj-45,usb-c,,dc-terminal,false
C1200-8FP-2G,3.37,141.80,8,0,2,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-16T-2G,3.92,11.00,16,2,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-16P-2G,5.25,141.40,16,2,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24T-4G,5.80,14.20,24,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24P-4G,7.78,230.80,24,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24FP-4G,10.14,429.90,24,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-48T-4G,8.71,38.07,48,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-48P-4G,11.97,437.14,48,4,0,0,0,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24T-4X,6.13,23.00,24,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24P-4X,8.11,236.30,24,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-24FP-4X,10.14,450.40,24,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-48T-4X,8.71,39.77,48,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1200-48P-4X,11.97,449.48,48,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,false
C1300-8T-E-2G,3.06,10.65,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-8P-E-2G,3.79,84.86,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-8FP-2G,6.72,141.8,8,0,2,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16T-2G,4.8,11.2,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16P-2G,5.25,151.8,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16FP-2G,5.49,275.2,16,2,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-24T-4G,5.8,14.8,24,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-24P-4G,7.78,230.5,24,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-24FP-4G,10.14,436.9,24,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-48T-4G,8.71,38.07,48,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-48P-4G,11.97,437.14,48,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-48FP-4G,14.28,819.41,48,4,0,0,0,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,false
C1300-16P-4X,5.49,156.3,16,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24T-4X,6.92,22.4,24,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24P-4X,8.7,232.9,24,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24FP-4X,10.84,441.2,24,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-48T-4X,9.59,39.77,48,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-48P-4X,14.04,449.48,48,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-48FP-4X,11.38,831.71,48,0,0,0,4,0,0,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-8MGP-2X,5.83,143.4,4,0,0,0,2,0,4,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24MGP-4X,12.2,443.6,16,0,0,0,4,0,8,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-48MGP-4X,12.86,883,32,0,0,0,4,0,16,,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-12XT-2X,5.82,52,0,0,0,12,2,0,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-12XS,5.89,26.1,0,0,0,0,10,2,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-16XTS,5.91,35.2,0,0,0,8,8,0,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24XS,9.15,49.02,0,0,0,0,20,4,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24XT,9.45,88,0,0,0,20,0,4,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
C1300-24XTS,9.25,86.7,0,0,0,12,12,0,0,1,rj-45,usb-c,usb-a,iec-60320-c14,true
CBS250-8T-D,1.19,7.6,8,0,0,0,0,0,0,,,,,dc-terminal,false
CBS250-8PP-D,1.23,61.4,8,0,0,0,0,0,0,,,,,dc-terminal,false
CBS250-8T-E-2G,3.06,12.56,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-8PP-E-2G,3.37,65.29,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-8P-E-2G,3.37,80.79,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-8FP-E-2G,3.37,147.48,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-16T-2G,3.92,18.37,16,2,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-16P-2G,5.25,156.4,16,2,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-24T-4G,5.80,25.63,24,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-24PP-4G,7.78,138.9,24,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-24P-4G,7.78,239.7,24,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-24FP-4G,10.14,449.7,24,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-48T-4G,8.71,48.64,48,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-48PP-4G,11.97,276.75,48,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-48P-4G,11.97,451.95,48,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-24T-4X,6.13,27.25,24,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-24P-4X,8.11,240.4,24,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-24FP-4X,10.14,451.8,24,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-48T-4X,8.71,51.01,48,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS250-48P-4X,11.97,471.9,48,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-8T-E-2G,3.06,12.56,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-8P-2G,5.71,83.17,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-8P-E-2G,3.37,80.79,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-8FP-2G,5.71,148.12,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-8FP-E-2G,3.37,147.48,8,0,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-8S-E-2G,2.20,11.9,0,8,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-16T-2G,3.92,18.37,16,2,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-16T-E-2G,3.13,19.32,16,2,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-16P-2G,5.25,156.4,16,2,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-16P-E-2G,3.13,150.1,16,2,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-16FP-2G,5.49,284,16,2,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-24T-4G,5.80,25.63,24,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-24P-4G,7.78,239.7,24,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-24FP-4G,10.14,449.7,24,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-24S-4G,5.95,34.3,0,24,2,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-48T-4G,8.71,48.64,48,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-48P-4G,11.97,451.95,48,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-48FP-4G,12.83,886.42,48,4,0,0,0,0,0,,rj-45,usb-a,,iec-60320-c14,false
CBS350-24T-4X,6.13,27.25,24,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,true
CBS350-24P-4X,8.11,240.4,24,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,true
CBS350-24FP-4X,10.14,451.8,24,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,true
CBS350-48T-4X,8.71,51.01,48,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,true
CBS350-48P-4X,11.97,471.9,48,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,true
CBS350-48FP-4X,12.83,889.35,48,0,0,0,4,0,0,,rj-45,usb-a,,iec-60320-c14,true
CBS350-8MGP-2X,5.51,167,6,0,0,0,0,2,2,,rj-45,usb-a,,iec-60320-c14,true
CBS350-8MP-2X,6.04,312.4,0,0,0,0,0,2,8,,rj-45,usb-a,,iec-60320-c14,true
CBS350-24MGP-4X,8.79,476.6,20,0,0,0,2,2,4,,rj-45,usb-a,,iec-60320-c14,true
CBS350-12NP-4X,9.35,494.5,0,0,0,0,2,2,12,,rj-45,usb-a,,iec-60320-c14,true
CBS350-24NGP-4X,11.68,488.9,16,0,0,0,2,2,8,,rj-45,usb-a,,iec-60320-c14,true
CBS350-48NGP-4X,13.12,916,40,0,0,0,2,2,8,,rj-45,usb-a,,iec-60320-c14,true
CBS350-8XT,6.57,50.3,0,0,0,6,0,2,0,1,rj-45,usb-a,,iec-60320-c14,true
CBS350-12XS,7.54,25.3,0,0,0,0,10,2,0,1,rj-45,usb-a,,iec-60320-c14,true
CBS350-12XT,6.46,64.1,0,0,0,10,0,2,0,1,rj-45,usb-a,,iec-60320-c14,true
CBS350-16XTS,8.36,57.7,0,0,0,8,8,0,0,1,rj-45,usb-a,,iec-60320-c14,true
CBS350-24XS,9.70,39.0,0,0,0,0,20,4,0,1,rj-45,usb-a,,iec-60320-c14,true
CBS350-24XT,11.20,124.5,0,0,0,20,0,4,0,1,rj-45,usb-a,,iec-60320-c14,true
CBS350-24XTS,10.67,80.2,0,0,0,12,12,0,0,1,rj-45,usb-a,,iec-60320-c14,true
CBS350-48XT-4X,16.10,234.4,0,0,0,48,4,0,0,1,rj-45,usb-a,,iec-60320-c14,true
C1300X-24T-4X,7.23,32.1,24,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,true
C1300X-48T-4X,7.94,72.1,48,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,true
C1300X-24P-4X,8.73,474,24,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,true
C1300X-48P-4X,11.16,891.3,48,0,0,0,4,0,0,,rj-45,usb-c,,iec-60320-c14,true
C1300X-24MU-4X,9.44,866.5,0,0,0,0,4,0,24,,rj-45,usb-c,,iec-60320-c14,true
C1300X-10NU-2X,6.68,442.2,0,0,0,0,2,0,10,,rj-45,usb-c,,iec-60320-c14,true
C1300X-24NGU-4X,9.33,870.8,16,0,0,0,4,0,8,,rj-45,usb-c,,iec-60320-c14,true
C1300X-48NGU-4X,11.35,869.1,40,0,0,0,4,0,8,,rj-45,usb-c,,iec-60320-c14,true
